Time,Phase
23:00:00,0
23:10:00,0
23:20:00,0
23:30:00,1
23:40:00,1
23:50:00,1
00:00:00,1
00:10:00,1
00:20:00,1
00:30:00,2
00:40:00,2
00:50:00,2
01:00:00,2
01:10:00,2
01:20:00,2
01:30:00,2
01:40:00,3
01:50:00,3
02:00:00,4
02:10:00,4
02:20:00,4
02:30:00,4
02:40:00,5
02:50:00,4
03:00:00,4
03:10:00,3
03:20:00,3
03:30:00,3
03:40:00,2
03:50:00,2
04:00:00,1
04:10:00,2
04:20:00,2
04:30:00,3
04:40:00,4
04:50:00,4
05:00:00,3
05:10:00,3
05:20:00,2
05:30:00,2
05:40:00,1
05:50:00,1
06:00:00,2
06:10:00,3
06:20:00,3
06:30:00,2
06:40:00,2
06:50:00,2
07:00:00,1
07:10:00,2
07:20:00,2
07:30:00,2
07:40:00,2
07:50:00,0
08:00:00,0
